# Numbers extracted using tools/atomic_weights.ipynb from https://www.ciaaw.org/atomic-masses.htm
Isotope,Atomic Mass [Da],Uncertainty [Da]
100Ag,99.916115443,0.000005367
100Cd,99.920348829,0.000001800
100In,99.931101929,0.000002400
100Kr,99.962995,0.000429
100Mo,99.907467982,0.000000322
100Nb,99.914340578,0.000008562
100Pd,99.908520438,0.000018934
100Rb,99.950331532,0.000014089
100Rh,99.908114147,0.000019458
100Ru,99.90421046,0.000000367
100Sn,99.938648944,0.000257661
100Sr,99.93578327,0.000007426
100Tc,99.907652715,0.000001450
100Y,99.927727678,0.000012000
100Zr,99.918010499,0.000008742
101Ag,100.912683951,0.000005193
101Cd,100.918586209,0.000001600
101In,100.926414025,0.000012519
101Kr,100.969318,0.000537
101Mo,100.910337648,0.000000331
101Nb,100.915306508,0.000004024
101Pd,100.908284824,0.000004925
101Rb,100.954302,0.000022000
101Rh,100.906158903,0.000006270
101Ru,100.905573086,0.000000443
101Sn,100.935259252,0.000322068
101Sr,100.940606264,0.000009103
101Tc,100.907305271,0.000025768
101Y,100.930160817,0.000007601
101Zr,100.921458454,0.000008944
102Ag,101.911704538,0.000008771
102Cd,101.914481797,0.000001784
102In,101.924105911,0.000004909
102Mo,101.910293725,0.000008916
102Nb,101.918090447,0.000002695
102Pd,101.905632292,0.000000449
102Rb,101.960008,0.000089000
102Rh,101.906834282,0.000006880
102Ru,101.904340312,0.000000446
102Sb,101.945142,0.000429
102Sn,101.930289525,0.000107466
102Sr,101.944004679,0.000072000
102Tc,101.909207239,0.000009840
102Y,101.934328471,0.000004381
102Zr,101.923154181,0.000009401
103Ag,102.908960558,0.000004400
103Cd,102.913416922,0.000001943
103In,102.91987883,0.000009640
103Mo,102.913091954,0.000009900
103Nb,102.919453416,0.000004224
103Pd,102.906111074,0.000000942
103Rb,102.964401,0.000429
103Rh,102.905494081,0.000002470
103Ru,102.906314846,0.000000473
103Sb,102.939162,0.000322
103Sn,102.927973,0.000108
103Sr,102.949243,0.000215
103Tc,102.90917396,0.000010531
103Y,102.937243796,0.000012029
103Zr,102.927204054,0.000009900
104Ag,103.908623715,0.000004527
104Cd,103.909856228,0.000001795
104In,103.918214538,0.000006200
104Mo,103.913747443,0.000009566
104Nb,103.922907728,0.000001915
104Pd,103.904030393,0.000001434
104Rb,103.970531,0.000537
104Rh,103.906645309,0.000002471
104Ru,103.905425312,0.000002682
104Sb,103.936344,0.000109
104Sn,103.923105195,0.000006167
104Sr,103.953022,0.000322
104Tc,103.911433718,0.000026716
104Te,103.946723408,0.000340967
104Y,103.941943,0.000215
104Zr,103.929449193,0.000010000
105Ag,104.906525604,0.000004877
105Cd,104.909463893,0.000001494
105In,104.914502322,0.000011000
105Mo,104.916981989,0.000009721
105Nb,104.924942577,0.000004324
105Pd,104.905079479,0.000001222
105Rh,104.905687787,0.000002685
105Ru,104.907745478,0.000002683
105Sb,104.931276547,0.000023431
105Sn,104.921268421,0.000004263
105Sr,104.959001,0.000537
105Tc,104.911662024,0.000037856
105Te,104.943304516,0.000322084
105Y,104.945711,0.000429
105Zr,104.934021832,0.000013000
106Ag,105.906663499,0.000003237
106Cd,105.906459791,0.000001184
106I,105.953516,0.000429
106In,105.913463596,0.000013125
106Mo,105.918273231,0.000009801
106Nb,105.928928505,0.000001520
106Pd,105.903480287,0.000001186
106Rh,105.907285879,0.000005786
106Ru,105.907328181,0.000005787
106Sb,105.928637979,0.000008000
106Sn,105.916957394,0.000005465
106Sr,105.963177,0.000644
106Tc,105.914356674,0.000013150
106Te,105.937498521,0.000107934
106Y,105.950842,0.000537
106Zr,105.93693,0.000215
107Ag,106.905091509,0.000002556
107Cd,106.906612049,0.000001782
107I,106.946935,0.000322
107In,106.910287497,0.000010363
107Mo,106.92211977,0.000009901
107Nb,106.931589685,0.000008612
107Pd,106.905128058,0.000001289
107Rh,106.906747975,0.000012937
107Ru,106.909969837,0.000009310
107Sb,106.924150621,0.000004452
107Sn,106.915713649,0.000005700
107Sr,106.969672,0.000751
107Tc,106.915458437,0.000009310
107Te,106.934882,0.000108
107Y,106.954943,0.000537
107Zr,106.942007,0.000322
108Ag,107.905950245,0.000002563
108Cd,107.904183588,0.000001205
108I,107.943348,0.000109
108In,107.909693654,0.000009276
108Mo,107.924047508,0.000009901
108Nb,107.936075604,0.000008844
108Pd,107.903891806,0.000001189
108Rh,107.908715304,0.000015026
108Ru,107.910185793,0.000009318
108Sb,107.922226731,0.000005900
108Sn,107.91189429,0.000005778
108Tc,107.918493493,0.000009413
108Te,107.929380469,0.000005808
108Xe,107.954232285,0.000407406
108Y,107.960515,0.000644
108Zr,107.945303,0.000429
109Ag,108.904755778,0.000001381
109Cd,108.904986697,0.000001649
109I,108.938086022,0.000007223
109In,108.907149679,0.000004261
109Mo,108.928438318,0.000012000
109Nb,108.939141,0.000462500
109Pd,108.905950576,0.000001195
109Rh,108.908749555,0.000004336
109Ru,108.913323707,0.000009612
109Sb,108.918141203,0.000005652
109Sn,108.911292857,0.000008533
109Tc,108.920254107,0.000010380
109Te,108.927304532,0.000004704
109Xe,108.950434955,0.000322178
109Y,108.965131,0.000751
109Zr,108.950907,0.000537
10B,10.012936862,0.000000016
10Be,10.013534692,0.000000086
10C,10.016853217,0.000000075
10He,10.052815306,0.000099676
10Li,10.035483453,0.000013656
10N,10.04165354,0.000429417
110Ag,109.906110724,0.000001380
110Cd,109.90300747,0.000000407
110I,109.935085102,0.000066494
110In,109.907170674,0.000012402
110Mo,109.930717956,0.000026000
110Nb,109.943843,0.000900000
110Pd,109.905172878,0.000000657
110Rh,109.911079745,0.000019114
110Ru,109.914038501,0.000009580
110Sb,109.916854283,0.000006400
110Sn,109.907844835,0.000014790
110Tc,109.923741263,0.000010195
110Te,109.922458102,0.000007058
110Xe,109.944258759,0.000108415
110Zr,109.954675,0.000537
111Ag,110.905296827,0.000001565
111Cd,110.904183776,0.000000383
111Cs,110.953945,0.000215
111I,110.930269236,0.000005103
111In,110.905107236,0.000003675
111Mo,110.935651966,0.000013503
111Nb,110.947439,0.000322
111Pd,110.907690358,0.000000785
111Rh,110.911643164,0.000007356
111Ru,110.917567566,0.000010394
111Sb,110.913218187,0.000009500
111Sn,110.907741143,0.000005728
111Tc,110.925898966,0.000011359
111Te,110.921000587,0.000006900
111Xe,110.94147,0.000124
111Zr,110.960837,0.000644
112Ag,111.907048548,0.000002600
112Cd,111.902763896,0.000000268
112Cs,111.950172,0.000124
112I,111.928004548,0.000011000
112In,111.905538718,0.000004563
112Mo,111.938293,0.000215
112Nb,111.952689,0.000322
112Pd,111.907330557,0.000007027
112Rh,111.914405199,0.000047327
112Ru,111.918806922,0.000010305
112Sb,111.912399903,0.000019140
112Sn,111.904824894,0.000000315
112Tc,111.929941658,0.000005920
112Te,111.916727848,0.000009000
