H,-3.739,,,,,,,,1.7568,,80.26,,82.02,,0.3326,
1H,-3.7406,,,,25.274,,,,1.7583,,80.27,,82.03,,0.3326,
2H,6.671,,,,4.04,,,,5.592,,2.05,,7.64,,0.000519,
3H,4.792,,,,-1.04,,,,2.89,,0.14,,3.03,,0.0,
He,3.26,3.0,,,,,,,1.34,,0.0,,1.34,,0.00747,
3He,5.74,,-1.483,,-2.5,,2.568,,4.42,,1.6,,6.0,,5333.0,7.0
4He,3.26,,,,0.0,,,,1.34,,0.0,,1.34,,0.0,
Li,-1.9,,,,,,,,0.454,,0.92,,1.37,,70.5,
6Li,2.0,,-0.261,,-1.89,,0.26,,0.51,,0.46,,0.97,,940.0,4.0
7Li,-2.22,,,,-2.49,,,,0.619,,0.78,,1.4,,0.0454,
Be,7.79,,,,0.12,,,,7.63,,0.0018,,7.63,,0.0076,
B,5.3,,-0.213,,,,,,3.54,,1.7,,5.24,,767.0,8.0
10B,-0.1,,-1.066,,-4.7,,1.231,,0.144,,3.0,,3.1,,3835.0,9.0
11B,6.65,,,,-1.3,,,,5.56,,0.21,,5.77,,0.0055,
C,6.646,,,,,,,,5.551,,0.001,,5.551,,0.0035,
12C,6.6511,,,,0.0,,,,5.559,,0.0,,5.559,,0.00353,
13C,6.19,,,,-0.52,,,,4.81,,0.034,,4.84,,0.00137,
N,9.36,,,,,,,,11.01,,0.5,,11.51,,1.9,
14N,9.37,,,,2.0,,,,11.03,,0.5,,11.53,,1.91,
15N,6.44,,,,-0.02,,,,5.21,,5e-05,,5.21,,2.4e-05,
O,5.803,,,,,,,,4.232,,0.0008,,4.232,,0.00019,
16O,5.803,,,,0.0,,,,4.232,,0.0,,4.232,,0.0001,
17O,5.78,,,,0.18,,,,4.2,,0.004,,4.2,,0.236,
18O,5.84,,,,0.0,,,,4.29,,0.0,,4.29,,0.00016,
F,5.654,,,,-0.082,,,,4.017,,0.0008,,4.018,,0.0096,
Ne,4.566,,,,,,,,2.62,,0.008,,2.628,,0.039,
20Ne,4.631,,,,0.0,,,,2.695,,0.0,,2.695,,0.036,
21Ne,6.66,,,,0.6,,,,5.6,,0.05,,5.7,,0.67,
22Ne,3.87,,,,0.0,,,,1.88,,0.0,,1.88,,0.046,
Na,3.63,,,,3.59,,,,1.66,,1.62,,3.28,,0.53,
Mg,5.375,,,,,,,,3.631,,0.08,,3.71,,0.063,
24Mg,5.66,,,,0.0,,,,4.03,,0.0,,4.03,,0.05,
25Mg,3.62,,,,1.48,,,,1.65,,0.28,,1.93,,0.19,
26Mg,4.89,,,,0.0,,,,3.0,,0.0,,3.0,,0.0382,
Al,3.449,,,,0.256,,,,1.495,,0.0082,,1.503,,0.231,
Si,4.1491,,,,,,,,2.163,,0.004,,2.167,,0.171,
28Si,4.107,,,,0.0,,,,2.12,,0.0,,2.12,,0.177,
29Si,4.7,,,,0.09,,,,2.78,,0.001,,2.78,,0.101,
30Si,4.58,,,,0.0,,,,2.64,,0.0,,2.64,,0.107,
P,5.13,,,,0.2,,,,3.307,,0.005,,3.312,,0.172,
S,2.847,,,,,,,,1.0186,,0.007,,1.026,,0.53,
32S,2.804,,,,0.0,,,,0.988,,0.0,,0.988,,0.54,
33S,4.74,,,,1.5,,,,2.8,,0.3,,3.1,,0.54,
